model,validation_threshold,validation_roc_auc,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_pr_auc,test_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_pr_auc,cv_roc_auc_mean,cv_roc_auc_std,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_average_precision_mean,cv_average_precision_std
extra_trees,0.47687005483085515,0.9782082324455206,0.9425287356321839,0.896551724137931,0.9285714285714286,0.9122807017543859,0.9471609951841942,0.9452054794520548,0.926605504587156,0.9117647058823529,0.8611111111111112,0.8857142857142857,0.926828487209374,0.9526428464348266,0.019833380772311712,0.8869565217391303,0.023188405797101422,0.9056140350877193,0.0662855630032558,0.7347826086956522,0.024759620179234502,0.810383275261324,0.035731257593579493,0.919981895550279,0.030665548140018897
voting_ensemble,0.4051062646486266,0.9709443099273607,0.9310344827586207,0.84375,0.9642857142857143,0.9,0.9309813658133032,0.9486301369863015,0.908256880733945,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.936605857751564,,,,,,,,,,,,
random_forest,0.4866666666666667,0.9648910411622276,0.9195402298850575,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.9272783836382918,0.9406392694063926,0.9357798165137615,0.967741935483871,0.8333333333333334,0.8955223880597015,0.9280696025046926,0.949915354323511,0.015406125475452342,0.8927536231884059,0.023547937404741915,0.9151506216521696,0.051706229411755705,0.7434782608695653,0.051419871519207676,0.8191898345556883,0.041008324075153535,0.9135502467527727,0.0366539924809187
svm,0.46259718030728064,0.9533898305084745,0.9080459770114943,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.8989506980836761,0.940068493150685,0.8899082568807339,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9198169255768867,0.934847509808295,0.01882252359322704,0.8753623188405797,0.019658927487319598,0.8540990156550798,0.058568220422963516,0.7529644268774703,0.049177331272713995,0.7980466196688545,0.032139489212153656,0.9020488172840974,0.03425357893091455
adaboost,0.6353859734261396,0.9491525423728813,0.9080459770114943,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8825130055990534,0.9516742770167428,0.8990825688073395,1.0,0.6944444444444444,0.819672131147541,0.9319903276673054,0.9278950466739551,0.02082286587023227,0.863768115942029,0.043574772111225804,0.8153030303030302,0.07754023808049229,0.7616600790513834,0.058112176915380585,0.7868513936994886,0.06409989098877211,0.884794159255897,0.043717619518214935
logistic_regression,0.896429092309063,0.9485472154963681,0.9195402298850575,0.9565217391304348,0.7857142857142857,0.8627450980392157,0.9048216901783126,0.9425418569254186,0.8990825688073395,0.9310344827586207,0.75,0.8307692307692308,0.9242972801967811,0.9190019488615796,0.03132344736496511,0.8550724637681159,0.018332044406773242,0.7615507246376811,0.04161307454532641,0.8142292490118578,0.016200712673453903,0.7864939870490287,0.02575882225192542,0.8944053263558027,0.033490027966072575
