model,validation_threshold,validation_roc_auc,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_pr_auc,test_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_pr_auc,cv_roc_auc_mean,cv_roc_auc_std,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_average_precision_mean,cv_average_precision_std
adaboost,0.4814533357906849,0.5969498910675382,0.5862068965517241,0.5862068965517241,1.0,0.7391304347826086,0.6768280313323375,0.6090407177363699,0.5871559633027523,0.5849056603773585,0.9841269841269841,0.7337278106508875,0.7028306723532556,0.5558620689655172,0.04044619596616195,0.5681159420289855,0.04527680971540088,0.6149984073897118,0.032784492047399014,0.6799999999999999,0.06595452979136461,0.6449917659184085,0.04444193807727903,0.6603036136097178,0.025075640245645705
voting_ensemble,0.4029114081584699,0.5855119825708062,0.5977011494252874,0.5930232558139535,1.0,0.7445255474452555,0.6665253881249759,0.6038647342995168,0.5871559633027523,0.5833333333333334,1.0,0.7368421052631579,0.6694233014446558,,,,,,,,,,,,
logistic_regression,0.3617609330226387,0.5849673202614379,0.6436781609195402,0.6470588235294118,0.8627450980392157,0.7394957983193278,0.6481856742706502,0.5835058661145618,0.6238532110091743,0.6170212765957447,0.9206349206349206,0.7388535031847133,0.6448909089372803,0.47879310344827586,0.04670027383960838,0.49565217391304345,0.06310591610747025,0.572724358974359,0.05726016930487668,0.5199999999999999,0.060000000000000005,0.5442211118513585,0.054684514890469535,0.5635631424831965,0.02308141057466379
svm,0.5,0.5765250544662308,0.5862068965517241,0.5862068965517241,1.0,0.7391304347826086,0.7032735485348418,0.5653899240855762,0.5779816513761468,0.5779816513761468,1.0,0.7325581395348837,0.6222387289810604,0.5551724137931033,0.0473243670785113,0.5797101449275364,0.05650315562208094,0.6299191919191919,0.04250758528371591,0.665,0.099498743710662,0.6442744115189937,0.06162011272269925,0.6286460876976404,0.03621011202491979
random_forest,0.36666666666666664,0.5438453159041394,0.5977011494252874,0.5930232558139535,1.0,0.7445255474452555,0.6300381490625291,0.6136991028295377,0.5688073394495413,0.5754716981132075,0.9682539682539683,0.7218934911242604,0.664205880869556,0.5749137931034483,0.03203302583821834,0.5768115942028986,0.06038454103188307,0.597459609356161,0.03648402806212318,0.825,0.0651920240520265,0.6928178754339264,0.0463288721286265,0.6701268662907872,0.02532681272748844
extra_trees,0.31666666666666665,0.5427559912854031,0.5862068965517241,0.5862068965517241,1.0,0.7391304347826086,0.6587858278739176,0.5301932367149759,0.5871559633027523,0.5833333333333334,1.0,0.7368421052631579,0.6283622670281037,0.5638793103448275,0.029223247875775852,0.5739130434782609,0.05768043113661564,0.5962622530725978,0.032037687741161884,0.8099999999999999,0.08746427842267951,0.686231816762132,0.052293408229152946,0.6426649601935519,0.018091733709317596
